id,Function_name,description_en,Category,syntax_en,example_en,Tutorial_1,Tutorial_2,Tutorial_3,Tutorial_4
231,IMDIV,Returns the quotient of two complex numbers,Engineering,"IMDIV(inumber1,inumber2)","=IMDIV(""6+4i"",""1+2i"")",Complex number division.,Electrical impedance analysis.,Mathematical research.,Physics vector computations.
232,IMEXP,Returns the exponential of a complex number,Engineering,IMEXP(inumber),"=IMEXP(""1+i"")",Exponential calculation of complex numbers.,Signal processing in engineering.,Mathematical modeling.,Scientific simulations.
233,IMLN,Returns the natural logarithm of a complex number,Engineering,IMLN(inumber),"=IMLN(""3+4i"")",Natural log of complex numbers.,Advanced mathematical modeling.,Engineering calculations.,Logarithmic data analysis.
234,IMLOG10,Returns the base-10 logarithm of a complex number,Engineering,IMLOG10(inumber),"=IMLOG10(""2+3i"")",Base-10 logarithm of complex numbers.,Signal attenuation analysis.,Engineering measurements.,Logarithmic scaling.
235,IMLOG2,Returns the base-2 logarithm of a complex number,Engineering,IMLOG2(inumber),"=IMLOG2(""4+4i"")",Base-2 logarithm of complex numbers.,Digital signal processing.,Information theory applications.,Engineering computations.
236,IMPOWER,Returns a complex number raised to an integer power,Engineering,"IMPOWER(inumber,number)","=IMPOWER(""1+i"",3)",Raise complex numbers to a power.,Electrical circuit design.,Waveform signal analysis.,Mathematical simulations.
237,IMPRODUCT,Returns the product of complex numbers,Engineering,"IMPRODUCT(inumber1,[inumber2],...)","=IMPRODUCT(""1+i"",""2+i"")",Multiply complex numbers.,Electrical circuit analysis.,Engineering waveform calculations.,Scientific modeling tasks.
238,IMREAL,Returns the real coefficient of a complex number,Engineering,IMREAL(inumber),"=IMREAL(""6+9i"")",Extract real part of complex numbers.,Data extraction for engineering.,Signal processing tasks.,Vector analysis in physics.
239,IMSEC,Returns the secant of a complex number,Engineering,IMSEC(inumber),"=IMSEC(""3+2i"")",Calculate secant of complex numbers.,Signal analysis computations.,Mathematical modeling scenarios.,Electrical waveform analysis.
240,IMSECH,Returns the hyperbolic secant of a complex number,Engineering,IMSECH(inumber),"=IMSECH(""1+i"")",Hyperbolic secant of complex numbers.,Advanced wave analysis.,Scientific research modeling.,Engineering calculations.
241,IMSIN,Returns the sine of a complex number,Engineering,IMSIN(inumber),"=IMSIN(""2+3i"")",Sine of complex numbers.,Signal processing calculations.,Engineering waveform analysis.,Scientific simulation tasks.
242,IMSINH,Returns the hyperbolic sine of a complex number,Engineering,IMSINH(inumber),"=IMSINH(""1+2i"")",Hyperbolic sine of complex numbers.,Physics-based simulations.,Advanced mathematical analysis.,Engineering data processing.
243,IMSQRT,Returns the square root of a complex number,Engineering,IMSQRT(inumber),"=IMSQRT(""4+4i"")",Square root of complex numbers.,Electrical impedance calculations.,Engineering simulations.,Complex number simplification.
244,IMSUB,Returns the difference between two complex numbers,Engineering,"IMSUB(inumber1,inumber2)","=IMSUB(""5+3i"",""2+i"")",Subtract complex numbers.,Engineering and physics calculations.,Waveform data processing.,Mathematical modeling.
245,IMSUM,Returns the sum of complex numbers,Engineering,"IMSUM(inumber1,[inumber2],...)","=IMSUM(""3+2i"",""1+4i"")",Sum complex numbers.,Signal processing.,Engineering analysis tasks.,Scientific research simulations.
246,IMTAN,Returns the tangent of a complex number,Engineering,IMTAN(inumber),"=IMTAN(""2+3i"")",Tangent of complex numbers.,Electrical engineering computations.,Wave propagation studies.,Mathematical analysis.
247,INDEX,Uses an index to choose a value from a reference or array,Lookup and reference,"INDEX(array,row_num,[column_num])","=INDEX(A1:B8,3,2)",Retrieve data from arrays dynamically.,Lookup employee details.,Product database queries.,Financial report generation.
248,INDIRECT,Returns a reference indicated by a text value,Lookup and reference,"INDIRECT(ref_text,[a1])","=INDIRECT(""A""&B1)",Dynamic cell references.,Dashboard interactivity.,Data-driven navigation.,Spreadsheet automation.
249,INFO,Returns information about the current operating environment,Information,INFO(type_text),"=INFO(""numfile"")",Retrieve environment information.,System audits in Excel.,Technical troubleshooting.,Document metadata reporting.
250,INT,Rounds a number down to the nearest integer,Math and trigonometry,INT(number),=INT(7.9),Round numbers down to nearest integer.,Inventory calculations.,Sales quantity standardization.,Financial reporting.
251,INTERCEPT,Returns the intercept of the linear regression line,Statistical,"INTERCEPT(known_y's,known_x's)","=INTERCEPT(A1:A8,B1:B8)",Linear regression intercept calculation.,Trend analysis in sales data.,Statistical research models.,Financial forecasting.
252,INTRATE,Returns the interest rate for a fully invested security,Financial,"INTRATE(settlement,maturity,investment,redemption,[basis])","=INTRATE(""1-Jan-2025"",""1-Jan-2026"",1000,1100)",Calculate interest rate for investments.,Bond investment analysis.,Financial returns calculation.,Interest rate comparisons.
253,IPMT,Returns the interest payment for an investment for a given period,Financial,"IPMT(rate,per,nper,pv,[fv],[type])","=IPMT(0.06/12,1,60,10000)",Interest payment calculation for loans.,Mortgage payment analysis.,Loan amortization schedules.,Financial planning for debt management.
254,IRR,Returns the internal rate of return for a series of cash flows,Financial,"IRR(values,[guess])",=IRR(A1:A3),Internal rate of return calculation.,Investment analysis.,Financial feasibility studies.,Project valuation analysis.
255,ISBLANK,Returns TRUE if the value is blank,Information,ISBLANK(value),=ISERR(A1/B1),Check if cells are empty.,Data completeness audits.,Data validation tasks.,Report accuracy checks.
256,ISERR,Returns TRUE if the value is any error value except #N/A,Information,ISERR(value),=ISERROR(A1/B1),Check if a value has errors excluding #N/A.,Formula auditing.,Error detection in financial data.,Report validation automation.
257,ISERROR,Returns TRUE if the value is any error value,Information,ISERROR(value),=ISERROR(A1/B1),Detect any error in formulas.,Data validation processes.,Error management in financial reports.,Automated spreadsheet audits.
258,ISEVEN,Returns TRUE if the number is even,Information,ISEVEN(number),=ISEVEN(4),Identify even numbers.,Numeric data analysis.,Conditional formatting logic.,Inventory batch calculations.
259,ISFORMULA,Returns TRUE if there is a reference to a cell that contains a formula,Information,ISFORMULA(reference),=ISFORMULA(A1),Check if a cell contains a formula.,Spreadsheet audits.,Documentation verification.,Data integrity checks.
260,ISLOGICAL,Returns TRUE if the value is a logical value,Information,ISLOGICAL(value),=ISLOGICAL(TRUE),Verify if cell contains logical values.,Data validation in surveys.,Boolean data checks.,Logical analysis in decision trees.
261,ISNA,Returns TRUE if the value is the #N/A error value,Information,ISNA(value),"=ISNA(VLOOKUP(""Excel"",A:B,2,FALSE))",Check for #N/A errors specifically.,Lookup validation.,Error handling in database searches.,Data matching processes.
262,ISNONTEXT,Returns TRUE if the value is not text,Information,ISNONTEXT(value),=ISNONTEXT(123),Confirm cell contains non-text data.,Data validation checks.,Numeric data audits.,Report accuracy assessments.
263,ISNUMBER,Returns TRUE if the value is a number,Information,ISNUMBER(value),=ISNUMBER(A1),Identify numeric cells.,Data cleansing processes.,Numeric data verification.,Formula input validation.
264,ISO.CEILING,Returns a number that is rounded up to the nearest integer or to the nearest multiple of significance,Math and trigonometry,"ISO.CEILING(number,[significance])",=ISO.CEILING(4.2),Round numbers up to nearest integer or specified multiple.,Inventory restocking decisions.,Financial rounding standards.,Budget forecasting.
265,ISODD,Returns TRUE if the number is odd,Information,ISODD(number),=ISODD(3),Detect odd numbers.,Batch processing analysis.,Conditional reporting.,Statistical data checks.
266,ISOMITTED,Checks whether the value in aÂ LAMBDAÂ is missing and returns TRUE or FALSE,Information,ISOMITTED(argument),=ISOMITTED(B1),Check if a function argument is omitted (LAMBDA contexts).,Validate parameter inputs.,Dynamic function audits.,Error checking in advanced formulas.
267,ISOWEEKNUM,Returns the number of the ISO week number of the year for a given date,Date and time,ISOWEEKNUM(date),"=ISOWEEKNUM(""2025-01-01"")",Calculate ISO week numbers.,Project timeline analysis.,Employee schedule planning.,Financial reporting cycles.
268,ISPMT,Calculates the interest paid during a specific period of an investment,Financial,"ISPMT(rate,per,nper,pv)","=ISPMT(0.05/12,1,60,10000)",Interest portion of loan payments.,Loan amortization tracking.,Debt management analysis.,Financial planning scenarios.
269,ISREF,Returns TRUE if the value is a reference,Information,ISREF(value),=ISREF(A2),Verify if a cell contains a reference.,Spreadsheet formula audits.,Formula validation routines.,Report integrity checks.
270,ISTEXT,Returns TRUE if the value is text,Information,ISTEXT(value),"=ISTEXT(""Excel"")",Check for text in cells.,Data type validation.,Data import processes.,Data quality audits.
271,JIS,Changes half-width (single-byte) characters within a string to full-width (double-byte) characters,Text,JIS(text),"=JIS(""????"")",Convert half-width characters to full-width.,Japanese text data normalization.,Data cleansing for Asian languages.,Database import preparation.
272,KURT,Returns the kurtosis of a data set,Statistical,"KURT(number1,[number2],...)",=KURT(A1:A8),Calculate kurtosis of data distribution.,Statistical research.,Risk analysis in finance.,Distribution shape analysis.
273,LAMBDA,"Create custom, reusable and call them by a friendly name",Logical,"LAMBDA([parameter1],[parameter2],...,calculation)","=LAMBDA(x,x+1)",Create custom reusable functions.,Complex financial modeling.,Dynamic report calculations.,Data transformation tasks.
274,LARGE,Returns the k-th largest value in a data set,Statistical,"LARGE(array,k)","=LARGE(A1:A8,3)",Find the k-th largest value.,Identify top sales performers.,Ranking student test scores.,Financial analysis of top values.
275,LCM,Returns the least common multiple,Math and trigonometry,"LCM(number1,[number2],...)","=LCM(4,6)",Least common multiple calculation.,Scheduling tasks.,Inventory replenishment cycles.,Process synchronization in manufacturing.
276,LEFT,Returns the leftmost characters from a text value,Text,"LEFT(text,[num_chars])","=LEFT(""Excel"",2)",Extract characters from left.,Data parsing tasks.,Text data cleansing.,Report formatting.
277,LEFTB,Returns the leftmost characters from a text value,Text,"LEFTB(text,[num_bytes])","=LEFTB(""??Excel"",4)",Extract bytes from left (DBCS text).,Asian language data extraction.,Text data parsing tasks.,Multilingual data management.
278,LEN,Returns the number of characters in a text string,Text,LEN(text),"=LEN(""Excel"")",Count characters in text strings.,Data validation checks.,Input length constraints.,Text analysis reports.
279,LENB,Returns the number of characters in a text string,Text,LENB(text),"=LENB(""????"")",Count bytes in DBCS text.,Asian character analysis.,Data import validation.,Multilingual content checks.
280,LET,Assigns names to calculation results,Logical,"LET(name1,name_value1,...,calculation)","=LET(x,5,y,3,x+y)",Define named variables within formulas.,Complex formula simplification.,Financial model construction.,Scenario-based calculations.
281,LINEST,Returns the parameters of a linear trend,Statistical,"LINEST(known_y's,[known_x's],[const],[stats])","=LINEST(A1:A4,B1:B4,TRUE,TRUE)",Linear regression statistics.,Trend analysis in sales data.,Financial forecasting models.,Statistical research modeling.
282,LN,Returns the natural logarithm of a number,Math and trigonometry,LN(number),=LN(10),Natural logarithm calculation.,Exponential growth analysis.,Statistical modeling.,Financial calculations.
283,LOG,Returns the logarithm of a number to a specified base,Math and trigonometry,"LOG(number,[base])","=LOG(8,2)",Logarithm calculation with custom base.,Scientific data analysis.,Financial growth evaluations.,Mathematical computations.
284,LOG10,Returns the base-10 logarithm of a number,Math and trigonometry,LOG10(number),=LOG10(100),Base-10 logarithm calculation.,Scientific notation conversion.,Decibel calculations.,Data scaling in reports.
285,LOGEST,Returns the parameters of an exponential trend,Statistical,"LOGEST(known_y's,[known_x's],[const],[stats])","=LOGEST(A1:A3,B1:B3)",Exponential regression analysis.,Growth trend predictions.,Financial forecasts.,Product demand modeling.
286,LOGINV,Returns the inverse of the lognormal cumulative distribution,Compatibility,"LOGINV(probability,mean,standard_dev)","=LOGINV(0.5,1,0.2)",Lognormal distribution inverse calculation (legacy).,Financial risk analysis.,Statistical data analysis.,Probability modeling.
287,LOGNORM.DIST,Returns the cumulative lognormal distribution,Statistical,"LOGNORM.DIST(x,mean,standard_dev,cumulative)","=LOGNORM.DIST(3,1,0.5,TRUE)",Lognormal distribution calculations.,Financial modeling.,Risk management assessments.,Project uncertainty evaluations.
288,LOGNORM.INV,Returns the inverse of the lognormal cumulative distribution,Statistical,"LOGNORM.INV(probability,mean,standard_dev)","=LOGNORM.INV(0.7,1,0.5)",Lognormal inverse distribution.,Risk analysis thresholds.,Financial scenario modeling.,Probability-based planning.
289,LOGNORMDIST,Returns the cumulative lognormal distribution,Compatibility,"LOGNORMDIST(x,mean,standard_dev)","=LOGNORMDIST(4,2,0.3)",Legacy lognormal distribution.,Historical financial analyses.,Statistical studies.,Probability assessments.
290,LOOKUP,Looks up values in a vector or array,Lookup and reference,"LOOKUP(lookup_value,lookup_vector,[result_vector])","=LOOKUP(""Apple"",A1:A3,B1:B3)",Simple lookup from single-row/column arrays.,Quick product price retrieval.,Employee data searches.,Report data linking.
291,LOWER,Converts text to lowercase,Text,LOWER(text),"=LOWER(""EXCEL"")",Convert text to lowercase.,Data standardization tasks.,Case-insensitive searches.,Data cleansing routines.
292,MAKEARRAY,"Returns aÂ calculated array of a specified row and column size, by applying aÂ LAMBDA",Logical,"MAKEARRAY(rows,columns,lambda)","=MAKEARRAY(2,2,LAMBDA(r,c,r*c))",Generate arrays dynamically.,Data table creation.,Complex data simulations.,Scenario modeling.
293,MAP,Returns an arrayÂ formed by mappingÂ each value in the array(s) to a new value by applying aÂ LAMBDAÂ to create a new value,Logical,"MAP(array1,[array2],...,lambda)","=MAP(A1:A5,LAMBDA(x,x*2))",Apply functions to arrays element-wise.,Dynamic calculations.,Data transformations.,Custom report generation.
294,MATCH,Looks up values in a reference or array,Lookup and reference,"MATCH(lookup_value,lookup_array,[match_type])","=MATCH(""Excel"",A1:A8,0)",Locate position of matched data.,Data validation and checking.,Report data referencing.,Dynamic formula creation.
295,MAX,Returns the maximum value in a list of arguments,Statistical,"MAX(number1,[number2],...)",=MAX(A1:A8),Identify maximum value.,Sales performance analytics.,Record-breaking evaluations.,Financial analysis.
296,MAXA,"Returns the maximum value in a list of arguments, including numbers, text, and logical values",Statistical,"MAXA(value1,[value2],...)",=MAXA(A1:A3),Maximum value including logical/text as numbers.,Mixed data analysis.,Survey data evaluations.,Conditional data comparisons.
297,MAXIFS,Returns the maximum value among cells specified by a given set of conditions or criteria,Statistical,"MAXIFS(max_range, criteria_range1, criteria1, [criteria_range2, criteria2],...)","=MAXIFS(A1:A8,B1:B8,""East"")",Maximum sales per region.,Highest score meeting conditions.,Employee performance analytics.,Inventory management thresholds.
298,MDETERM,Returns the matrix determinant of an array,Math and trigonometry,MDETERM(array),=MDETERM(A1:B2),Matrix determinant calculation.,Engineering analysis.,Mathematical modeling.,System stability computations.
299,MDURATION,Returns the Macauley modified duration for a security with an assumed par value of $100,Financial,"MDURATION(settlement,maturity,coupon,yld,frequency,[basis])","=MDURATION(""2025-01-01"",""2030-01-01"",0.05,0.04,2)",Calculate modified bond duration.,Risk management in bond portfolios.,Investment sensitivity analysis.,Financial planning scenarios.
300,MEDIAN,Returns the median of the given numbers,Statistical,"MEDIAN(number1,[number2],...)",=MEDIAN(A1:A8),Find median in data sets.,Salary benchmarking analyses.,Statistical data evaluations.,Middle value in performance metrics.
301,MID,Returns a specific number of characters from a text string starting at the position you specify,Text,"MID(text,start_num,num_chars)","=MID(""Excel"",2,3)",Extract mid-string characters.,Parsing product codes.,Data extraction tasks.,Text analysis processes.
302,MIDB,Returns a specific number of characters from a text string starting at the position you specify,Text,"MIDB(text,start_num,num_bytes)","=MIDB(""??Excel"",3,4)",Extract bytes from mid-string (DBCS).,Asian language parsing.,Multilingual data extraction.,Text data analysis tasks.
303,MIN,Returns the minimum value in a list of arguments,Statistical,"MIN(number1,[number2],...)",=MIN(A1:A8),Find minimum value.,Evaluate lowest sales data.,Cost minimization analysis.,Identify record lows.
304,MINA,"Returns the smallest value in a list of arguments, including numbers, text, and logical values",Statistical,"MINIFS(min_range, criteria_range1, criteria1, [criteria_range2, criteria2],...)","=MINIFS(B1:B7,C1:C7,""North"")",Lowest price per region.,Minimum inventory thresholds.,Cost reduction analyses.,Performance benchmark studies.
305,MINIFS,Returns the minimum value among cells specified by a given set of conditions or criteria.,Statistical,"MINA(value1,[value2],...)",=MINA(A1:A4),Minimum value including text/logical as numbers.,Mixed-type data analysis.,Survey data evaluations.,Conditional data filtering.
306,MINUTE,Converts a serial number to a minute,Date and time,MINUTE(serial_number),"=MINUTE(""12:45"")",Extract minute from time data.,Time-based event tracking.,Shift planning analysis.,Log analysis of activities.
307,MINVERSE,Returns the matrix inverse of an array,Math and trigonometry,MINVERSE(array),=MINVERSE(A1:B2),Calculate matrix inverse.,Mathematical simulations.,Engineering calculations.,System solutions in linear algebra.
308,MIRR,Returns the internal rate of return where positive and negative cash flows are financed at different rates,Financial,"MIRR(values,finance_rate,reinvest_rate)","=MIRR(A1:A4,0.05,0.06)",Modified internal rate of return.,Project evaluation metrics.,Investment scenario comparisons.,Financial modeling decisions.
309,MMULT,Returns the matrix product of two arrays,Math and trigonometry,"MMULT(array1,array2)","=MMULT(A1:B2,C1:D2)",Multiply matrices together.,Engineering structural analysis.,Mathematical modeling tasks.,Multivariate data calculations.
310,MOD,Returns the remainder from division,Math and trigonometry,"MOD(number,divisor)","=MOD(10,3)",Calculate remainder after division.,Batch processing tasks.,Scheduling periodic events.,Numeric cycle calculations.
311,MODE,Returns the most common value in a data set,Compatibility,"MODE(number1,[number2],...)",=MODE(A1:A8),Find most frequent numeric value (legacy).,Customer behavior analysis.,Statistical reporting.,Inventory item frequency analysis.
312,MODE.MULT,"Returns a vertical array of the most frequently occurring, or repetitive values in an array or range of data",Statistical,"MODE.MULT(number1,[number2],...)",=MODE.MULT(A1:A8),Return multiple modes.,Multimodal data analysis.,Identify frequent occurrences.,Survey data interpretations.
313,MODE.SNGL,Returns the most common value in a data set,Statistical,"MODE.SNGL(number1,[number2],...)",=MODE.SNGL(A1:A8),Find single mode value.,Most common product sold.,Common score analysis.,Frequency analysis reports.
314,MONTH,Converts a serial number to a month,Date and time,MONTH(serial_number),"=MONTH(""2025-02-15"")",Extract month number from dates.,Sales monthly reporting.,Budget timeline analysis.,Seasonal trend evaluations.
315,MROUND,Returns a number rounded to the desired multiple,Math and trigonometry,"MROUND(number,multiple)","=MROUND(16,5)",Round numbers to nearest multiple.,Pricing standardization.,Inventory ordering calculations.,Financial report rounding.
316,MULTINOMIAL,Returns the multinomial of a set of numbers,Math and trigonometry,"MULTINOMIAL(number1,[number2],...)","=MULTINOMIAL(2,3,4)",Calculate multinomial coefficients.,Probability computations.,Statistical experiment planning.,Combinatorial analysis.
317,MUNIT,Returns the unit matrix or the specified dimension,Math and trigonometry,MUNIT(dimension),=MUNIT(3),Create identity matrices.,Mathematical simulations.,Linear algebra education.,Engineering calculations.
318,N,Returns a value converted to a number,Information,N(value),=N(TRUE),Convert values to numeric.,Data cleansing routines.,Logical to numeric conversions.,Data type normalization.
319,NA,Returns the error value #N/A,Information,NA(),=NA(),Return the #N/A error explicitly.,Data validation tasks.,Placeholder for missing data.,Error testing in formulas.
320,NEGBINOM.DIST,Returns the negative binomial distribution,Statistical,"NEGBINOM.DIST(number_f,number_s,probability_s,cumulative)","=NEGBINOM.DIST(3,5,0.4,FALSE)",Negative binomial probability calculations.,Quality control defect analysis.,Statistical risk modeling.,Probability scenario analysis.
321,NEGBINOMDIST,Returns the negative binomial distribution,Compatibility,"NEGBINOMDIST(number_f,number_s,probability_s)","=NEGBINOMDIST(2,4,0.5)",Legacy negative binomial distribution.,Historical statistical analyses.,Probability calculations.,Defect prediction modeling.
322,NETWORKDAYS,Returns the number of whole workdays between two dates,Date and time,"NETWORKDAYS(start_date,end_date,[holidays])","=NETWORKDAYS(""2025-01-01"",""2025-01-31"")",Count workdays between two dates.,Project scheduling analysis.,Employee payroll calculations.,Timeline management.
323,NETWORKDAYS.INTL,Returns the number of whole workdays between two dates using parameters to indicate which and how many days are weekend days,Date and time,"NETWORKDAYS.INTL(start_date,end_date,[weekend],[holidays])","=NETWORKDAYS.INTL(""2025-01-01"",""2025-01-31"",11)",Count international workdays with custom weekends.,Global project planning.,International payroll calculations.,Customized work schedule analysis.
324,NOMINAL,Returns the annual nominal interest rate,Financial,"NOMINAL(effect_rate,npery)","=NOMINAL(0.053,4)",Nominal interest rate calculation.,Loan comparisons.,Investment yield evaluations.,Financial scenario modeling.
325,NORM.DIST,Returns the normal cumulative distribution,Statistical,"NORM.DIST(x,mean,standard_dev,cumulative)","=NORM.DIST(42,40,1.5,TRUE)",Normal distribution probabilities.,Statistical performance analysis.,Quality control evaluation.,Standardized test scoring.
326,NORM.INV,Returns the inverse of the normal cumulative distribution,Compatibility,"NORM.INV(probability,mean,standard_dev)","=NORM.INV(0.75,100,15)",Inverse normal distribution (modern).,Risk analysis scenarios.,Statistical decision-making.,Performance benchmarking.
327,NORM.S.DIST,Returns the standard normal cumulative distribution,Statistical,"NORM.S.DIST(z,cumulative)","=NORM.S.DIST(1.96,TRUE)",Standard normal distribution probabilities.,Hypothesis testing.,Statistical analysis scenarios.,Research data evaluations.
328,NORM.S.INV,Returns the inverse of the standard normal cumulative distribution,Statistical,NORM.S.INV(probability),=NORM.S.INV(0.975),Inverse standard normal distribution.,Statistical significance cutoffs.,Research data thresholding.,Risk management scenarios.
329,NORMDIST,Returns the normal cumulative distribution,Compatibility,"NORMDIST(x,mean,standard_dev,cumulative)","=NORMDIST(75,70,3,FALSE)",Legacy normal distribution calculation.,Historical data analyses.,Statistical probability modeling.,Quality control checks.
330,NORMINV,Returns the inverse of the normal cumulative distribution,Statistical,"NORMINV(probability,mean,standard_dev)","=NORMINV(0.9,50,5)",Inverse normal distribution calculations.,Threshold determinations.,Risk assessments in finance.,Quality assurance limits.
331,NORMSDIST,Returns the standard normal cumulative distribution,Compatibility,NORMSDIST(z),=NORMSDIST(0),Legacy standard normal cumulative distribution.,Historical statistical calculations.,Z-score evaluations.,Statistical testing.
332,NORMSINV,Returns the inverse of the standard normal cumulative distribution,Compatibility,NORMSINV(probability),=NORMSINV(0.95),Legacy inverse standard normal distribution.,Traditional statistical analyses.,Historical data validations.,Probability modeling tasks.
333,NOT,Reverses the logic of its argument,Logical,NOT(logical),=NOT(A1>10),Logical negation.,Condition inversion in formulas.,Data validation logic.,Logical rule setups.
334,NOW,Returns the serial number of the current date and time,Date and time,NOW(),=NOW(),Current date and time.,Timestamp entries.,Report generation tracking.,Data logging.
335,NPER,Returns the number of periods for an investment,Financial,"NPER(rate,pmt,pv,[fv],[type])","=NPER(0.05,-100,5000)",Calculate periods for investment/loan.,Debt repayment planning.,Investment term analysis.,Financial timeline modeling.
336,NPV,Returns the net present value of an investment based on a series of periodic cash flows and a discount rate,Financial,"NPV(rate,value1,[value2],...)","=NPV(0.1,A1:A3)",Calculate net present value.,Investment evaluation.,Project feasibility analyses.,Financial decision-making.
337,NUMBERVALUE,Converts text to number in a locale-independent manner,Text,"NUMBERVALUE(text,[decimal_separator],[group_separator])","=NUMBERVALUE(""1.234,56"","","",""."")",Convert text to numbers with custom separators.,International number conversions.,Data import preparations.,Multiregional financial reporting.
338,OCT2BIN,Converts an octal number to binary,Engineering,"OCT2BIN(number,[places])","=OCT2BIN(""12"")",Convert octal numbers to binary.,Numeric conversions for software.,Educational numeric demonstrations.,Data processing in computing.
339,OCT2DEC,Converts an octal number to decimal,Engineering,OCT2DEC(number),"=OCT2DEC(""17"")",Convert octal to decimal.,Legacy system data integration.,Numeric system education.,Data transformation tasks.
340,OCT2HEX,Converts an octal number to hexadecimal,Engineering,"OCT2HEX(number,[places])","=OCT2HEX(""10"")",Convert octal numbers to hexadecimal.,Programming numeric conversions.,Data preparation tasks.,Numeric system analyses.
341,ODD,Rounds a number up to the nearest odd integer,Math and trigonometry,ODD(number),=ODD(4.5),Round numbers up to nearest odd integer.,Batch processing calculations.,Data standardization.,Inventory packaging units.
342,ODDFPRICE,Returns the price per $100 face value of a security with an odd first period,Financial,"ODDFPRICE(settlement,maturity,issue,first_coupon,rate,yld,redemption,frequency,[basis])","=ODDFPRICE(""2025-01-15"",""2028-03-01"",""2025-01-01"",""2025-06-01"",0.05,0.06,100,2)",Calculate price of bonds with odd first period.,Financial investment evaluations.,Bond portfolio pricing.,Investment risk analysis.
343,ODDFYIELD,Returns the yield of a security with an odd first period,Financial,"ODDFYIELD(settlement,maturity,issue,first_coupon,rate,pr,redemption,frequency,[basis])","=ODDFYIELD(""2025-01-15"",""2028-03-01"",""2025-01-01"",""2025-06-01"",0.05,98,100,2)",Calculate yield of bonds with odd first period.,Bond investment assessments.,Financial yield analyses.,Portfolio yield evaluations.
344,ODDLPRICE,Returns the price per $100 face value of a security with an odd last period,Financial,"ODDLPRICE(settlement,maturity,last_interest,rate,yld,redemption,frequency,[basis])","=ODDLPRICE(""2025-02-01"",""2028-12-31"",""2025-01-01"",0.04,0.05,100,2)",Price bonds with odd last period.,Investment analyses.,Financial planning.,Bond valuation scenarios.
345,ODDLYIELD,Returns the yield of a security with an odd last period,Financial,"ODDLYIELD(settlement,maturity,last_interest,rate,pr,redemption,frequency,[basis])","=ODDLYIELD(""2025-02-01"",""2028-12-31"",""2025-01-01"",0.04,99,100,2)",Yield calculation of bonds with odd last period.,Bond yield evaluations.,Financial scenario analyses.,Investment return assessments.
346,OFFSET,Returns a reference offset from a given reference,Lookup and reference,"OFFSET(reference,rows,cols,[height],[width])","=OR(A1>50,B1<30)",Dynamic cell reference adjustments.,Dashboard data handling.,Dynamic range calculations.,Data-driven reports.
347,OR,Returns TRUE if any argument is TRUE,Logical,"OR(logical1,[logical2],...)","=OR(A1>50,B1<30)",Logical OR condition checks.,Conditional formatting.,Formula condition management.,Data validation processes.
348,PDURATION,Returns the number of periods required by an investment to reach a specified value,Financial,"PDURATION(rate,pv,fv)","=PDURATION(0.06,1000,2000)",Calculate periods for investments to reach a value.,Savings goal analysis.,Financial planning tasks.,Investment timeline evaluation.
349,PEARSON,Returns the Pearson product moment correlation coefficient,Statistical,"PEARSON(array1,array2)","=PEARSON(A1:A3,B1:B3)",Correlation coefficient calculations.,Data relationship analysis.,Market research evaluations.,Statistical correlation studies.
350,PERCENTILE,Returns the k-th percentile of values in a range,Compatibility,"PERCENTILE(array,k)","=PERCENTILE(A1:A6,0.5)",Legacy percentile function.,Historical data evaluations.,Statistical studies.,Performance ranking tasks.
351,PERCENTILE.EXC,"Returns the k-th percentile of values in a range, where k is in the range 0..1, exclusive",Statistical,"PERCENTILE.EXC(array,k)","=PERCENTILE.EXC(A1:A9,0.3)",Exclusive percentile calculations.,Statistical data analyses.,Performance ranking.,Distribution assessments.
352,PERCENTILE.INC,Returns the k-th percentile of values in a range,Statistical,"PERCENTILE.INC(array,k)","=PERCENTILE.INC(A1:A9,0.75)",Inclusive percentile calculations.,Benchmarking analyses.,Statistical distribution evaluations.,Data-driven decisions.
353,PERCENTOF,Sums the values in the subset and divides it by all the values,Math and trigonometry,"PERCENTOF(total,value)","=PERCENTOF(200,50)",Calculate percentage of total dynamically.,Sales proportion analyses.,Expense tracking reports.,Data visualization preparations.
354,PERCENTRANK,Returns the percentage rank of a value in a data set,Compatibility,"PERCENTRANK(array,x,[significance])","=PERCENTRANK(A1:A6,6)",Legacy percent rank function.,Historical performance analyses.,Data ranking.,Benchmarking historical datasets.
355,PERCENTRANK.EXC,"Returns the rank of a value in a data set as a percentage (0..1, exclusive) of the data set",Statistical,"PERCENTRANK.EXC(array,x,[significance])","=PERCENTRANK.EXC(A1:A9,5)",Exclusive percent rank calculation.,Ranking performance metrics.,Statistical evaluations.,Benchmarking analyses.
356,PERCENTRANK.INC,Returns the percentage rank of a value in a data set,Statistical,"PERCENTRANK.INC(array,x,[significance])","=PERCENTRANK.INC(A1:A9,8)",Inclusive percent rank calculation.,Performance percentile rankings.,Data analysis tasks.,Employee evaluations.
357,PERMUT,Returns the number of permutations for a given number of objects,Statistical,"PERMUT(number, number_chosen)","=PERMUT(5,3)",Permutations calculation.,Probability modeling.,Statistical event planning.,Resource allocation studies.
358,PERMUTATIONA,Returns the number of permutations for a given number of objects (with repetitions) that can be selected from the total objects,Statistical,"PERMUTATIONA(number, number_chosen)","=PERMUTATIONA(3,2)",Permutations with repetitions.,Menu combinations.,Product bundling scenarios.,Marketing strategy analyses.
